question,human_response,Ortodoncia de la Fuente_base_answer,Ortodoncia de la Fuente_base_grade,Ortodoncia de la Fuente_fine_tuned_answer,Ortodoncia de la Fuente_fine_tuned_grade
"Hola, quiero saber más sobre los tratamientos de estética facial.",Ofrecemos tratamientos de estética facial como rinomodelación y aumento de labios. Las evaluaciones son gratuitas. ¿Te gustaría agendar una cita?,"¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Ofrecemos tratamientos de estética facial como rinomodelación, aumento de labios, y aplicación de toxina botulínica, entre otros. Las evaluaciones son gratuitas. ¿Te gustaría agendar una cita?",5,"Ofrecemos una variedad de tratamientos de estética facial, incluyendo rinomodelación, aumento de labios, y relleno de ojeras, entre otros. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",5
"Hola, quiero saber más sobre los tratamientos de estética facial.",Ofrecemos tratamientos de estética facial como rinomodelación y aumento de labios. Las evaluaciones son gratuitas. ¿Te gustaría agendar una cita?,"¡Hola! Soy Antonia 👩🏻‍💻Asistente virtual de Ortodoncia de la Fuente. Ofrecemos tratamientos de estética facial como rinomodelación, aumento de labios, y más. Las evaluaciones son gratuitas. ¿Te gustaría agendar una cita?",5,"Realizamos diversos tratamientos de estética facial, como rinomodelación, aumento de labios, y relleno de ojeras, entre otros. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",5
"Hola, ¿qué me pueden decir sobre los implantes dentales?",Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,Ofrecemos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4,Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿qué me pueden decir sobre los implantes dentales?",Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4,Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿qué me pueden decir sobre los implantes dentales?",Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4,Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿qué me pueden decir sobre los implantes dentales?",Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4,Realizamos implantes dentales para restaurar tanto la funcionalidad como la estética dental. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿qué me pueden decir sobre los tratamientos de conducto (endodoncia)?",Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,5,Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿qué me pueden decir sobre los tratamientos de conducto (endodoncia)?",Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,4,Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿qué me pueden decir sobre los tratamientos de conducto (endodoncia)?",Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,4,Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿qué me pueden decir sobre los tratamientos de conducto (endodoncia)?",Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,4,Realizamos tratamientos de conducto como parte de nuestros servicios de endodoncia. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?,4
"Hola, tengo problemas con las encías, ¿me pueden ayudar con eso?","Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?","Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?",4,"Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?",4
"Hola, tengo problemas con las encías, ¿me pueden ayudar con eso?","Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?","Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?",4,"Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?",4
"Hola, tengo problemas con las encías, ¿me pueden ayudar con eso?","Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?","Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?",4,"Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?",4
"Hola, tengo problemas con las encías, ¿me pueden ayudar con eso?","Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?","Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?",4,"Claro, ofrecemos tratamientos especializados para la salud de las encías. Las evaluaciones son gratuitas y están disponibles en las tardes. ¿Te gustaría agendar una evaluación?",4
"Hola, ¿me pueden informar sobre cirugía maxilofacial?",Realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?,"Claro, realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?",4,Realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿me pueden informar sobre cirugía maxilofacial?",Realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?,"Claro, realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?",4,Realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿me pueden informar sobre cirugía maxilofacial?",Realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?,"Claro, realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?",4,Realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿me pueden informar sobre cirugía maxilofacial?",Realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?,"Claro, realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?",4,Realizamos cirugías maxilofaciales para mejorar la función y estética facial. Las evaluaciones son gratuitas y se realizan los viernes por medio. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿ofrecen atención dental para niños?","Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?","Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?",5,"Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?",5
"Hola, ¿ofrecen atención dental para niños?","Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?","Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?",4,"Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?",4
"Hola, ¿ofrecen atención dental para niños?","Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?","Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?",4,"Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?",4
"Hola, ¿ofrecen atención dental para niños?","Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?","Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?",5,"Sí, contamos con servicios de odontología pediátrica especializados para niños. ¿Te gustaría agendar una evaluación gratuita para tu hijo?",4
"Hola, quiero blanquear mis dientes, ¿cuáles son las opciones?",Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4,Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4
"Hola, quiero blanquear mis dientes, ¿cuáles son las opciones?",Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4,Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4
"Hola, quiero blanquear mis dientes, ¿cuáles son las opciones?",Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4,Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4
"Hola, quiero blanquear mis dientes, ¿cuáles son las opciones?",Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4,Ofrecemos tratamientos personalizados de blanqueamiento dental para lograr una sonrisa más brillante. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿qué opciones tienen para mejorar la estética de mis dientes?","Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. ¿Te gustaría agendar una evaluación gratuita?","Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. ¿Te gustaría agendar una evaluación gratuita?",4,"Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",4
"Hola, ¿qué opciones tienen para mejorar la estética de mis dientes?","Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. ¿Te gustaría agendar una evaluación gratuita?","¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. ¿Te gustaría agendar una evaluación gratuita?",4,"Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",5
"Hola, ¿qué opciones tienen para mejorar la estética de mis dientes?","Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. ¿Te gustaría agendar una evaluación gratuita?","Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. ¿Te gustaría agendar una evaluación gratuita?",4,"Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",4
"Hola, ¿qué opciones tienen para mejorar la estética de mis dientes?","Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. ¿Te gustaría agendar una evaluación gratuita?","¡Hola! Soy Antonia 👩🏻‍💻Asistente virtual de Ortodoncia de la Fuente. Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. ¿Te gustaría agendar una evaluación gratuita?",4,"Ofrecemos restauraciones estéticas personalizadas, como carillas y coronas, para renovar tu sonrisa. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",4
"Hola, quiero saber más sobre los tratamientos de ortodoncia en Calama.","En Calama realizamos tratamientos de ortodoncia. La evaluación tiene un costo de $15.000, que debe ser transferido 24 horas antes de la atención. ¿Te gustaría agendar una evaluación?","En Calama realizamos tratamientos de ortodoncia. La evaluación tiene un costo de $15.000, que debe ser transferido 24 horas antes de la atención. Solo atendemos casos de ortodoncia. ¿Te gustaría agendar una evaluación?",5,Realizamos tratamientos de ortodoncia en Calama para alinear los dientes de manera precisa. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,2
"Hola, quiero saber más sobre los tratamientos de ortodoncia en Calama.","En Calama realizamos tratamientos de ortodoncia. La evaluación tiene un costo de $15.000, que debe ser transferido 24 horas antes de la atención. ¿Te gustaría agendar una evaluación?","En Calama realizamos tratamientos de ortodoncia. La evaluación tiene un costo de $15.000, que debe ser transferido 24 horas antes de la atención. ¿Te gustaría agendar una evaluación?",5,Realizamos tratamientos de ortodoncia en Calama para alinear los dientes de manera precisa. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,2
"Hola, quiero saber más sobre los tratamientos de ortodoncia en Calama.","En Calama realizamos tratamientos de ortodoncia. La evaluación tiene un costo de $15.000, que debe ser transferido 24 horas antes de la atención. ¿Te gustaría agendar una evaluación?","En Calama realizamos tratamientos de ortodoncia. La evaluación tiene un costo de $15.000, que debe ser transferido 24 horas antes de la atención. ¿Te gustaría agendar una evaluación?",5,En Calama realizamos tratamientos de ortodoncia para alinear dientes de forma precisa. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,2
"Hola, quiero saber más sobre los tratamientos de ortodoncia en Calama.","En Calama realizamos tratamientos de ortodoncia. La evaluación tiene un costo de $15.000, que debe ser transferido 24 horas antes de la atención. ¿Te gustaría agendar una evaluación?","En Calama realizamos tratamientos de ortodoncia. La evaluación tiene un costo de $15.000, que debe ser transferido 24 horas antes de la atención. ¿Te gustaría agendar una evaluación?",5,En Calama realizamos tratamientos de ortodoncia para alinear los dientes de manera precisa. Las evaluaciones son gratuitas y están disponibles en horario de tarde. ¿Te gustaría agendar una evaluación?,2
"Hola, me interesa un tratamiento pero quiero coordinar cómo seguir.",¡Claro! Puedes agendar una cita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para obtener más información y agendar. ¿En qué más puedo ayudarte?,¡Claro! Puedes agendar una cita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para obtener más información y agendar. ¿En qué más puedo ayudarte?,5,Puedes agendar una evaluación gratuita directamente por WhatsApp en este enlace: https://wa.link/e5fvfm. También puedo ayudarte a agendar a través de nuestro sitio web. ¿Cuál prefieres?,4
"Hola, me interesa un tratamiento pero quiero coordinar cómo seguir.",¡Claro! Puedes agendar una cita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para obtener más información y agendar. ¿En qué más puedo ayudarte?,¡Claro! Puedes agendar una cita directamente por nuestro WhatsApp en este enlace: [WhatsApp](https://wa.link/e5fvfm). También puedes visitar nuestro sitio web para más información y agendar. ¿En qué más puedo ayudarte?,4,Puedes agendar una evaluación gratuita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para más información. ¿Te gustaría agendar una evaluación?,4
"Hola, me interesa un tratamiento pero quiero coordinar cómo seguir.",¡Claro! Puedes agendar una cita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para obtener más información y agendar. ¿En qué más puedo ayudarte?,¡Claro! Puedes agendar una cita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para obtener más información y agendar. ¿En qué más puedo ayudarte?,5,Puedes agendar una evaluación gratuita directamente por WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para más información y agendar. ¿Qué tratamiento te interesa?,4
"Hola, me interesa un tratamiento pero quiero coordinar cómo seguir.",¡Claro! Puedes agendar una cita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para obtener más información y agendar. ¿En qué más puedo ayudarte?,¡Claro! Puedes agendar una cita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. También puedes visitar nuestro sitio web para obtener más información y agendar. ¿En qué más puedo ayudarte?,5,Puedes agendar una evaluación gratuita directamente por nuestro WhatsApp en este enlace: https://wa.link/e5fvfm. ¿Te gustaría agendar una evaluación?,4
