question,human_response,Oncoprecisión_base_answer,Oncoprecisión_base_grade,Oncoprecisión_fine_tuned_answer,Oncoprecisión_fine_tuned_grade
"Hola, soy el Dr. Martínez. Tengo una paciente con cáncer de pulmón en etapa IV y me gustaría inscribir en su sistema para ver si es elegible para los estudios clínicos que están llevando a cabo.","Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?","Hola, Dr. Martínez. Soy Julieta, la Secretaria de Oncoprecisión. Con gusto le ayudaré. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Qué tratamientos ha recibido hasta ahora?",4,"Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Hola, soy el Dr. Martínez. Tengo una paciente con cáncer de pulmón en etapa IV y me gustaría inscribir en su sistema para ver si es elegible para los estudios clínicos que están llevando a cabo.","Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?","Hola, Dr. Martínez. Soy Julieta, la Secretaria de Oncoprecisión. Estoy aquí para ayudarle. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Qué tratamientos ha recibido hasta ahora?",4,"Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Hola, soy el Dr. Martínez. Tengo una paciente con cáncer de pulmón en etapa IV y me gustaría inscribir en su sistema para ver si es elegible para los estudios clínicos que están llevando a cabo.","Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?","Hola, Dr. Martínez. Soy Julieta, la Secretaria de Oncoprecisión. Estoy aquí para ayudarle. Por favor, proporcione el nombre y correo electrónico de la paciente. También, ¿qué tratamientos ha recibido hasta ahora?",4,"Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Claro, la paciente se llama Ana López, su correo es ana.lopez@example.com. Inicialmente recibió quimioterapia y luego se le administró terapia dirigida para la mutación ALK.","Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?","Hola, soy Julieta, la Secretaria de Oncoprecisión. Gracias por la información, Dr. Martínez. ¿Podría indicarnos en qué etapa se encuentra actualmente el cáncer de Ana y si tiene algún marcador genético conocido?",4,"Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?",4
"Claro, la paciente se llama Ana López, su correo es ana.lopez@example.com. Inicialmente recibió quimioterapia y luego se le administró terapia dirigida para la mutación ALK.","Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?","Hola, soy Julieta, la Secretaria de Oncoprecisión. Gracias por la información, Dr. Martínez. ¿Podría indicarnos en qué etapa se encuentra actualmente el cáncer de Ana y si ha recibido algún otro tratamiento?",4,"Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?",4
"Claro, la paciente se llama Ana López, su correo es ana.lopez@example.com. Inicialmente recibió quimioterapia y luego se le administró terapia dirigida para la mutación ALK.","Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?","¡Hola! Soy Julieta, la Secretaria de Oncoprecisión. Gracias por la información. 

¿Podrías indicarme en qué etapa se encuentra Ana y si tiene algún marcador genético conocido? Además, ¿qué situación de tratamiento tiene actualmente?",4,"Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?",4
"Claro, la paciente se llama Ana López, su correo es ana.lopez@example.com. Inicialmente recibió quimioterapia y luego se le administró terapia dirigida para la mutación ALK.","Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?","Hola, soy Julieta, la Secretaria de Oncoprecisión. Gracias por la información. ¿Podrías indicarme en qué etapa se encuentra actualmente el cáncer de Ana y qué tratamientos está recibiendo en este momento?",4,"Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?",4
"Actualmente, Ana sigue con terapias dirigidas y cuidados paliativos para manejar los síntomas. Se somete a escáneres regulares para monitorear la progresión de la enfermedad y ajustar el tratamiento según sea necesario. Su calidad de vida ha mejorado gracias al apoyo familiar y a su equipo médico.",Guardaremos la información de Ana en nuestro sistema. Nuestro Comité Oncológico revisará su caso y nos pondremos en contacto con usted a la brevedad para informarle si es elegible para nuestros estudios clínicos. Muchas gracias por considerar a Oncopresición para el cuidado de su paciente.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento la situación de Ana. Para ayudar, necesito su nombre y correo electrónico. ¿Podrías confirmarlos, por favor?",4,Hemos guardado bien la información de Ana. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Actualmente, Ana sigue con terapias dirigidas y cuidados paliativos para manejar los síntomas. Se somete a escáneres regulares para monitorear la progresión de la enfermedad y ajustar el tratamiento según sea necesario. Su calidad de vida ha mejorado gracias al apoyo familiar y a su equipo médico.",Guardaremos la información de Ana en nuestro sistema. Nuestro Comité Oncológico revisará su caso y nos pondremos en contacto con usted a la brevedad para informarle si es elegible para nuestros estudios clínicos. Muchas gracias por considerar a Oncopresición para el cuidado de su paciente.,"¡Hola! Soy Julieta, la Secretaria de Oncoprecisión. Agradezco la información sobre Ana. ¿Podrías proporcionarme su nombre y correo electrónico para registrar su caso? Además, ¿qué tipo de cáncer tiene y en qué etapa se encuentra?",4,Hemos guardado bien la información de Ana. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Actualmente, Ana sigue con terapias dirigidas y cuidados paliativos para manejar los síntomas. Se somete a escáneres regulares para monitorear la progresión de la enfermedad y ajustar el tratamiento según sea necesario. Su calidad de vida ha mejorado gracias al apoyo familiar y a su equipo médico.",Guardaremos la información de Ana en nuestro sistema. Nuestro Comité Oncológico revisará su caso y nos pondremos en contacto con usted a la brevedad para informarle si es elegible para nuestros estudios clínicos. Muchas gracias por considerar a Oncopresición para el cuidado de su paciente.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación de Ana. Para ayudarla, necesitaré su nombre y correo electrónico. Luego, haré algunas preguntas sobre su diagnóstico y tratamiento.",4,Hemos guardado bien la información de la paciente. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Actualmente, Ana sigue con terapias dirigidas y cuidados paliativos para manejar los síntomas. Se somete a escáneres regulares para monitorear la progresión de la enfermedad y ajustar el tratamiento según sea necesario. Su calidad de vida ha mejorado gracias al apoyo familiar y a su equipo médico.",Guardaremos la información de Ana en nuestro sistema. Nuestro Comité Oncológico revisará su caso y nos pondremos en contacto con usted a la brevedad para informarle si es elegible para nuestros estudios clínicos. Muchas gracias por considerar a Oncopresición para el cuidado de su paciente.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Gracias por compartir esta información sobre Ana. Para poder ayudarla, ¿podría indicarme su nombre y correo electrónico? También, ¿qué tipo de cáncer padece Ana?",4,Hemos guardado bien la información de Ana. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
