question,human_response,Laboratorio Biomed_base_answer,Laboratorio Biomed_base_grade,Laboratorio Biomed_fine_tuned_answer,Laboratorio Biomed_fine_tuned_grade
¿Cuáles son los patógenos que incluye el PCR-ETS?,"En Laboratorio Biomed, nuestro PCR o Panel ETS incluye: Candida Albicans Chlamydia Trachomatis Gardnerella Vaginalis Mycoplasma Genitalium Mycoplasma Hominis Treponema Pallidum Trichomonas Vaginalis Ureaplasma Parvum Ureaplasma Urealyticum Virus Herpes simple I y II Neisseria Gonorrhoeae","El PCR o Panel ETS incluye:

- Chlamydia trachomatis
- Neisseria gonorrhoeae
- Mycoplasma genitalium
- Mycoplasma hominis
- Ureaplasma parvum
- Ureaplasma urealyticum
- Trichomonas vaginalis
- Treponema pallidum

¿Necesitas más información? 😊",3,"En Laboratorio Biomed, nuestro PCR o Panel ETS incluye: Candida Albicans Chlamydia Trachomatis Gardnerella Vaginalis Mycoplasma Genitalium Mycoplasma Hominis Treponema Pallidum Trichomonas Vaginalis Ureaplasma Parvum Ureaplasma Urealyticum Neisseria Gonorrhoeae",3
¿Cuáles son los patógenos que incluye el PCR-ETS?,"En Laboratorio Biomed, nuestro PCR o Panel ETS incluye: Candida Albicans Chlamydia Trachomatis Gardnerella Vaginalis Mycoplasma Genitalium Mycoplasma Hominis Treponema Pallidum Trichomonas Vaginalis Ureaplasma Parvum Ureaplasma Urealyticum Virus Herpes simple I y II Neisseria Gonorrhoeae","El PCR o Panel ETS incluye los siguientes patógenos:

- Chlamydia trachomatis
- Neisseria gonorrhoeae
- Mycoplasma genitalium
- Mycoplasma hominis
- Ureaplasma parvum
- Ureaplasma urealyticum
- Trichomonas vaginalis
- Candida albicans

¿Te puedo ayudar con algo más? 😊",3,"En Laboratorio Biomed, nuestro PCR o Panel ETS incluye: Candida Albicans Chlamydia Trachomatis Gardnerella Vaginalis Mycoplasma Genitalium Mycoplasma Hominis Neisseria Gonorrhoeae Treponema Pallidum Trichomonas Vaginalis Ureaplasma Parvum Ureaplasma Urealyticum",3
¿Cuáles son los patógenos que incluye el PCR-ETS?,"En Laboratorio Biomed, nuestro PCR o Panel ETS incluye: Candida Albicans Chlamydia Trachomatis Gardnerella Vaginalis Mycoplasma Genitalium Mycoplasma Hominis Treponema Pallidum Trichomonas Vaginalis Ureaplasma Parvum Ureaplasma Urealyticum Virus Herpes simple I y II Neisseria Gonorrhoeae","El PCR o Panel ETS incluye los siguientes patógenos:

- Chlamydia trachomatis
- Neisseria gonorrhoeae
- Mycoplasma genitalium
- Mycoplasma hominis
- Ureaplasma parvum
- Ureaplasma urealyticum
- Trichomonas vaginalis
- Candida albicans

¿Necesitas más información? 😊",3,"En Laboratorio Biomed, nuestro PCR o Panel ETS incluye: Chlamydia Trachomatis Neisseria Gonorrhoeae Mycoplasma Genitalium Mycoplasma Hominis Ureaplasma Parvum Ureaplasma Urealyticum Trichomonas Vaginalis Candida Albicans",3
¿Cuáles son los patógenos que incluye el PCR-ETS?,"En Laboratorio Biomed, nuestro PCR o Panel ETS incluye: Candida Albicans Chlamydia Trachomatis Gardnerella Vaginalis Mycoplasma Genitalium Mycoplasma Hominis Treponema Pallidum Trichomonas Vaginalis Ureaplasma Parvum Ureaplasma Urealyticum Virus Herpes simple I y II Neisseria Gonorrhoeae","El PCR o Panel ETS incluye:

- Chlamydia trachomatis
- Neisseria gonorrhoeae
- Mycoplasma genitalium
- Mycoplasma hominis
- Ureaplasma parvum
- Ureaplasma urealyticum

¿Puedo ayudarte con algo más? 😊",3,"En Laboratorio Biomed, nuestro PCR o Panel ETS incluye: Candida Albicans Chlamydia Trachomatis Gardnerella Vaginalis Mycoplasma Genitalium Mycoplasma Hominis Neisseria Gonorrhoeae Treponema Pallidum Trichomonas Vaginalis Ureaplasma Parvum Ureaplasma Urealyticum",3
¡Hola! ¿Dónde puedo hacer mamografías o radiografías?,"Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊","Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊",5,"Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊",5
¡Hola! ¿Dónde puedo hacer mamografías o radiografías?,"Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊","Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊",5,"Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊",5
¡Hola! ¿Dónde puedo hacer mamografías o radiografías?,"Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊","Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊",5,"Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊",5
¡Hola! ¿Dónde puedo hacer mamografías o radiografías?,"Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊","Puedes realizar mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊",5,"Puedes hacer mamografías y radiografías solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt). 😊",5
¡Hola! ¿En qué sucursal se hacen Holter de Presión y cuál es su precio?,"Puedes realizar el Holter de Presión en nuestra Sucursal Casa Matriz, previo agendamiento. Valor particular: $42.000. ¿Te gustaría agendar una cita? 😊","El Holter de Presión se realiza en nuestra Sucursal Casa Matriz, con agendamiento previo. Valor particular: $42.000. ¿Te gustaría agendar una cita? 😊",5,"El Holter de Presión se realiza solo en nuestra Sucursal Casa Matriz (Benavente 761, Puerto Montt) y su valor particular es $42.000. ¿Te gustaría agendar una cita? 😊",5
¡Hola! ¿En qué sucursal se hacen Holter de Presión y cuál es su precio?,"Puedes realizar el Holter de Presión en nuestra Sucursal Casa Matriz, previo agendamiento. Valor particular: $42.000. ¿Te gustaría agendar una cita? 😊","El Holter de Presión se realiza en nuestra Sucursal Casa Matriz, con agendamiento previo. Valor particular: $42.000. ¿Te gustaría agendar una cita? 😊",5,"En Laboratorio Biomed, el Holter de Presión se realiza solo en Casa Matriz (Benavente 761, Puerto Montt) y su valor particular es $42.000. ¿Te gustaría agendar una cita? 😊",5
¡Hola! ¿En qué sucursal se hacen Holter de Presión y cuál es su precio?,"Puedes realizar el Holter de Presión en nuestra Sucursal Casa Matriz, previo agendamiento. Valor particular: $42.000. ¿Te gustaría agendar una cita? 😊","El Holter de Presión se realiza solo en nuestra Sucursal Casa Matriz, con agendamiento previo. Valor particular: $42.000. ¿Te gustaría agendar una cita? 😊",5,"En Laboratorio Biomed, el Holter de Presión se realiza solo en Casa Matriz (Benavente 761, Puerto Montt) y tiene un valor particular de $42.000. ¿Te gustaría agendar una cita? 😊",5
¡Hola! ¿En qué sucursal se hacen Holter de Presión y cuál es su precio?,"Puedes realizar el Holter de Presión en nuestra Sucursal Casa Matriz, previo agendamiento. Valor particular: $42.000. ¿Te gustaría agendar una cita? 😊","El Holter de Presión se realiza en nuestra Sucursal Casa Matriz, con agendamiento previo. Valor particular: $42.000. ¿Te gustaría agendar una cita? 😊",5,"En Laboratorio Biomed, el Holter de Presión se realiza solo en Casa Matriz (Benavente 761, Puerto Montt) y su valor particular es $42.000. ¿Te gustaría agendar una cita? 😊",5
¡Hola! ¿En qué sucursal se hacen Holter de Arritmia y cuál es su precio?,"El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz, con agendamiento. Valor particular: $60.000. ¿Agendamos una cita? 😊","El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz, con agendamiento previo. Valor particular: $60.000. ¿Te gustaría agendar una cita? 😊",5,"El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz (Benavente 761, Puerto Montt) y requiere agendamiento previo. Valor particular: $60.000. ¿Te gustaría agendar una cita? 😊",5
¡Hola! ¿En qué sucursal se hacen Holter de Arritmia y cuál es su precio?,"El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz, con agendamiento. Valor particular: $60.000. ¿Agendamos una cita? 😊","El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz, con agendamiento previo. Valor particular: $60.000. ¿Te gustaría agendar una cita? 😊",5,"El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz (Benavente 761, Puerto Montt) y su valor particular es $60.000. ¿Te gustaría agendar una cita? 😊",5
¡Hola! ¿En qué sucursal se hacen Holter de Arritmia y cuál es su precio?,"El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz, con agendamiento. Valor particular: $60.000. ¿Agendamos una cita? 😊","El Holter de Arritmia se realiza solo en nuestra Sucursal Casa Matriz, con agendamiento previo. Valor particular: $60.000. ¿Te gustaría agendar una cita? 😊",5,"El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz (Benavente 761, Puerto Montt), con agendamiento previo. Valor particular: $60.000. ¿Te gustaría agendar una cita? 😊",5
¡Hola! ¿En qué sucursal se hacen Holter de Arritmia y cuál es su precio?,"El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz, con agendamiento. Valor particular: $60.000. ¿Agendamos una cita? 😊","El Holter de Arritmia se realiza solo en nuestra Sucursal Casa Matriz, con agendamiento previo. Valor particular: $60.000. ¿Te gustaría agendar una cita? 😊",5,"El Holter de Arritmia se realiza solo en la Sucursal Casa Matriz (Benavente 761, Puerto Montt) y su valor particular es $60.000. ¿Te gustaría agendar una cita? 😊",5
¿Qué debo hacer para agendar una hora para el PAP o VPH?,Puedes agendar tu PAP o VPH aquí: https://wa.me/56945711542 Nuestro equipo te ayudará a escoger sucursal y horario. 👩u200d⚕️,Puedes agendar tu PAP o VPH aquí: [https://wa.me/56945711542](https://wa.me/56945711542). Nuestro equipo te ayudará a escoger sucursal y horario. 👩‍⚕️,5,"Para agendar tu PAP o VPH, por favor escríbenos al WhatsApp +56 9 4571 1542 y con gusto te ayudaremos. 👩‍⚕️",5
¿Qué debo hacer para agendar una hora para el PAP o VPH?,Puedes agendar tu PAP o VPH aquí: https://wa.me/56945711542 Nuestro equipo te ayudará a escoger sucursal y horario. 👩u200d⚕️,Puedes agendar tu PAP o VPH aquí: https://wa.me/56945711542. Nuestro equipo te ayudará a escoger sucursal y horario. 👩‍⚕️,5,"Para agendar tu PAP o VPH, por favor escríbenos al WhatsApp +56 9 4571 1542 y con gusto te ayudaremos. 👩‍⚕️",5
¿Qué debo hacer para agendar una hora para el PAP o VPH?,Puedes agendar tu PAP o VPH aquí: https://wa.me/56945711542 Nuestro equipo te ayudará a escoger sucursal y horario. 👩u200d⚕️,Puedes agendar tu PAP o VPH aquí: [https://wa.me/56945711542](https://wa.me/56945711542) 🩺 Nuestro equipo te ayudará a escoger sucursal y horario. 😊,5,"Para agendar tu PAP o VPH, por favor escríbenos al WhatsApp +56 9 4571 1542 y con gusto te ayudaremos. 👩‍⚕️",5
¿Qué debo hacer para agendar una hora para el PAP o VPH?,Puedes agendar tu PAP o VPH aquí: https://wa.me/56945711542 Nuestro equipo te ayudará a escoger sucursal y horario. 👩u200d⚕️,Puedes agendar tu PAP o VPH aquí: [https://wa.me/56945711542](https://wa.me/56945711542) 😊 Nuestro equipo te ayudará a escoger sucursal y horario.,5,"Para agendar tu PAP o VPH, por favor escríbenos al WhatsApp +56 9 4571 1542 y con gusto te ayudaremos. 👩‍⚕️",5
"Hola, quiero agendar una hora",Gracias por contactarte con Laboratorio Biomed! Puedes agendar: Medicina General Dr. Raúl Mansilla: https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1 Medicina General Dr. Rodrigo Ramírez Corsi: (Mismo enlace) Nutricionista César Cortés: (Mismo enlace) ¿Te ayudo con algo más? 😊,"¡Hola! 😊 Puedes agendar tu cita médica con los siguientes profesionales:

- Medicina General Dr. Raúl Mansilla: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)
- Medicina General Dr. Rodrigo Ramírez Corsi: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)
- Nutricionista César Cortés: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)

¿Puedo ayudarte con algo más? 😊",5,Gracias por contactarte con Laboratorio Biomed! 😊 ¿Te gustaría agendar una hora para medicina general o nutrición? 🌟,3
"Hola, quiero agendar una hora",Gracias por contactarte con Laboratorio Biomed! Puedes agendar: Medicina General Dr. Raúl Mansilla: https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1 Medicina General Dr. Rodrigo Ramírez Corsi: (Mismo enlace) Nutricionista César Cortés: (Mismo enlace) ¿Te ayudo con algo más? 😊,"¡Hola! 😊 Puedes agendar una cita con los siguientes profesionales:

1. Medicina General Dr. Raúl Mansilla: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1).
2. Medicina General Dr. Rodrigo Ramírez Corsi: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1).
3. Nutricionista César Cortés: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1).

¿Te ayudo con algo más? 😊",5,Gracias por comunicarte con Laboratorio Biomed. 😊 ¿Te gustaría agendar hora para medicina general o nutrición? 🌟,3
"Hola, quiero agendar una hora",Gracias por contactarte con Laboratorio Biomed! Puedes agendar: Medicina General Dr. Raúl Mansilla: https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1 Medicina General Dr. Rodrigo Ramírez Corsi: (Mismo enlace) Nutricionista César Cortés: (Mismo enlace) ¿Te ayudo con algo más? 😊,"¡Hola! Puedes agendar una hora con los siguientes profesionales:

1. **Medicina General Dr. Raúl Mansilla**: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)
2. **Medicina General Dr. Rodrigo Ramírez Corsi**: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)
3. **Nutricionista César Cortés**: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)

¿Te ayudo con algo más? 😊",5,Gracias por contactarte con Laboratorio Biomed! 😊 ¿Te gustaría agendar horas para medicina general o nutrición? 🌟,3
"Hola, quiero agendar una hora",Gracias por contactarte con Laboratorio Biomed! Puedes agendar: Medicina General Dr. Raúl Mansilla: https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1 Medicina General Dr. Rodrigo Ramírez Corsi: (Mismo enlace) Nutricionista César Cortés: (Mismo enlace) ¿Te ayudo con algo más? 😊,"Gracias por contactarte con Laboratorio Biomed! Puedes agendar:

1. Medicina General Dr. Raúl Mansilla: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)
2. Medicina General Dr. Rodrigo Ramírez Corsi: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)
3. Nutricionista César Cortés: [Agendar aquí](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1)

¿Te ayudo con algo más? 😊",5,Gracias por contactarte con Laboratorio Biomed! 😊 ¿Te gustaría agendar horas para medicina general o nutrición?,3
"Hola, ¿puedo agendar un PAP o VPH?",¡Claro! Agenda tu PAP o VPH aquí: https://wa.me/56945711542 Nuestro equipo te apoyará para escoger sucursal y horario. 👩u200d⚕️,"¡Claro! Para agendar tu PAP o VPH, por favor comunícate con nuestro equipo aquí: [WhatsApp](https://wa.me/56945711542). Ellos te ayudarán a escoger sucursal y horario. 👩‍⚕️",5,"Para agendar tu PAP o VPH, por favor escríbenos al WhatsApp +56 9 4571 1542 y con gusto te ayudaremos. 👩‍⚕️",5
"Hola, ¿puedo agendar un PAP o VPH?",¡Claro! Agenda tu PAP o VPH aquí: https://wa.me/56945711542 Nuestro equipo te apoyará para escoger sucursal y horario. 👩u200d⚕️,"¡Claro! Para agendar tu PAP o VPH, por favor comunícate aquí: [WhatsApp](https://wa.me/56945711542). Nuestro equipo te ayudará a elegir la sucursal y el horario que más te convenga. 👩‍⚕️",5,"Para agendar tu PAP o VPH, por favor escríbenos al WhatsApp +56 9 4571 1542 y con gusto te ayudaremos. 👩‍⚕️",5
