question,human_response,House of Spencer_base_answer,House of Spencer_base_grade,House of Spencer_fine_tuned_answer,House of Spencer_fine_tuned_grade
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",5,¡Sí! Puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",5,¡Sí! 📅 Puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?,5
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! 😊 Tenemos clases de lunes a viernes en los siguientes horarios:\n\n**Mañana:** 6:00, 6:30, 7:30, 8:30  \n**Mediodía:** 10:00, 11:00, 12:00, 13:00  \n**Tarde:** 18:00, 19:00, 20:00  \n\n**Sábado:** 10:00, 11:00.  \n\n¿Te gustaría más información?",5,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! 😊 Tenemos clases de lunes a viernes en los siguientes horarios:\n\n**Mañana:** 6:00, 6:30, 7:30, 8:30  \n**Mediodía:** 10:00, 11:00, 12:00, 13:00  \n**Tarde:** 18:00, 19:00, 20:00  \n\n**Sábado:** 10:00, 11:00. \n\n¿Te gustaría saber más?",5,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! 😊 Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! 😊 Tenemos clases de lunes a viernes en los siguientes horarios:\n\n**Mañana:** 6:00, 6:30, 7:30, 8:30  \n**Mediodía:** 10:00, 11:00, 12:00, 13:00  \n**Tarde:** 18:00, 19:00, 20:00  \n\n**Sábado:** 10:00, 11:00.  \n\n¿Te gustaría saber algo más?",5,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! 😊 Soy House of Spencer. ¿Cómo puedo ayudarte hoy? Puedo resolver dudas sobre horarios, precios y nuestros servicios. ¡Cuéntame!",4,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃\u200d♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.",4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! 😊 Soy de House of Spencer. ¿En qué puedo ayudarte hoy? Puedo resolver dudas sobre horarios, precios, agendar clases y más. 💪",4,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃\u200d♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.",4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! 😊 Soy House of Spencer, el asistente de nuestro centro de entrenamiento. Estoy aquí para ayudarte con horarios, precios y más. ¿En qué puedo asistirte hoy? 💪",4,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃\u200d♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.",4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! 😊 Soy de House of Spencer. Estoy aquí para ayudarte con tus dudas sobre entrenamiento, nutrición y más. ¿En qué puedo asistirte hoy? 💪",4,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃\u200d♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.",4
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que todas son realizadas por kinesiólogos. 📝 ¿Necesitas más información?",5,"¡Sí! 📝 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. ¿Necesitas más información?",5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que son realizadas por kinesiólogos. 📝 ¿Necesitas más información?",5,"¡Sí! 📝 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. ¿Necesitas más información?",5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que todas son realizadas por kinesiólogos. 📝 ¿Necesitas más información?",5,"¡Hola! 📝 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. ¿Necesitas más información?",5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que todas son realizadas por kinesiólogos. 📝 ¿Necesitas más información?",5,"¡Sí! 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! 😊 Me alegra que te haya gustado la clase. Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Te puedo ayudar con algo más?",5,¡Hola! 😊 Me alegro que te haya gustado la clase. 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! 😊 Me alegra que te haya gustado la clase. Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?",5,¡Hola! 😊 Me alegro que te haya gustado nuestra clase. 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,¡Hola! Me alegra que te haya gustado la clase. 🙌 Puedes contratar un plan descargando la app BoxMagic o visitando https://auth.boxmagic.cl/. Ahí podrás elegir entre los diferentes planes de sesiones. ¿Necesitas ayuda con algo más? 💪,5,¡Hola! 😊 Me alegro que te haya gustado la clase. 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! 😊 Me alegra que te haya gustado la clase. Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Te puedo ayudar con algo más?",5,¡Hola! Me alegro mucho que te haya gustado nuestra clase y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?,5
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas y personalizadas. Por el momento, no tenemos servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? Aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24.",5,¡Hola! 😊 No ofrecemos el servicio de Open-Gym. Tenemos clases guiadas semi-personalizadas y personalizadas. 🏋️\u200d♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,5
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas. Actualmente, no contamos con servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? 📲",4,¡Hola! 😊 No ofrecemos el servicio de Open-Gym. Tenemos clases guiadas semi-personalizadas y personalizadas. 🏋️\u200d♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,5
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas, pero no tenemos servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? Puedes hacerlo aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24.",5,"¡Hola! 😊 No es solo ejercicio, es un estilo de vida ✨ Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24",5
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas y personalizadas. No contamos con el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? 📲,5,¡Hola! 😊 No ofrecemos el servicio de Open-Gym. Tenemos clases guiadas semi-personalizadas y personalizadas. 🏋️\u200d♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,5
¿Necesito una orden médica para tomar sesiones de kinesiología con ustedes?,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! 😊 No necesitas una orden médica para entrenar con nosotros. Sin embargo, nuestras sesiones de kinesiología son reembolsables con orden médica. 📝 ¿Necesitas más información?",4,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",4
¿Necesito una orden médica para tomar sesiones de kinesiología con ustedes?,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! 😊 No necesitas una orden médica para entrenar con nosotros. Sin embargo, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",4,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",4
¿Necesito una orden médica para tomar sesiones de kinesiología con ustedes?,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! 😊 No necesitas una orden médica para entrenar con nosotros. Sin embargo, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",4,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",4
¿Necesito una orden médica para tomar sesiones de kinesiología con ustedes?,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! 😊 No necesitas una orden médica para entrenar con nosotros. Sin embargo, nuestras sesiones son reembolsables con orden médica. 📝 ¿Te gustaría saber más?",4,"No necesitas una orden médica para entrenar con nosotros. 🚑 Como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",4
¿Qué tipo de centro es House of Spencer?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️‍♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪",¡Hola! 😊 House of Spencer es un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento. Nuestro enfoque es evitar lesiones y mejorar la eficiencia física a través de clases semi personalizadas. 🏋️\u200d♀️ ¿Te gustaría saber más sobre nuestros servicios?,4,"¡Hola! 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️\u200d♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪 ¿Cómo puedo ayudarte hoy?",4
¿Qué tipo de centro es House of Spencer?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️‍♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪","¡Hola! 😊 House of Spencer es un centro de entrenamiento en Providencia enfocado en mejorar la biomecánica y enseñar movimiento para evitar lesiones. Ofrecemos clases semi personalizadas, masoterapia y asesorías en nutrición. 🏋️\u200d♀️🍏 ¿Te gustaría saber más sobre algún servicio?",5,"¡Hola! 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️\u200d♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪 ¿Cómo puedo ayudarte hoy?",4
¿Qué tipo de centro es House of Spencer?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️‍♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪","¡Hola! 😊 House of Spencer es un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento. Nuestro enfoque es evitar lesiones y mejorar la eficiencia física. Ofrecemos clases semi personalizadas, masoterapia y asesorías en nutrición. 🏋️\u200d♀️ ¿Te gustaría saber más sobre nuestros servicios?",5,"¡Hola! 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️\u200d♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪 ¿Cómo puedo ayudarte hoy?",4
